"","x"
"1",823996
"2",821706
"3",820137
"4",819128
"5",818770
"6",818494
"7",818483
"8",818482
"9",818481
"10",818480
"11",818479
"12",818478
"13",818477
"14",818476
"15",818475
"16",818437
"17",818294
"18",818097
"19",818096
"20",818095
"21",818094
"22",818090
"23",816137
"24",815502
"25",815465
"26",809632
"27",809631
"28",807079
"29",807040
"30",806865
"31",806792
"32",806499
"33",806101
"34",802415
"35",802379
"36",801676
"37",799290
"38",799071
"39",797455
"40",796368
"41",796366
"42",796358
"43",796352
"44",796350
"45",795620
"46",792678
"47",792673
"48",792672
"49",792669
"50",792666
"51",791208
"52",790078
"53",789344
"54",789255
"55",789254
"56",788642
"57",788412
"58",788411
"59",786814
"60",778690
"61",770716
"62",770715
"63",769558
"64",768711
"65",768478
"66",765371
"67",763774
"68",760445
"69",757497
"70",754934
"71",754559
"72",753600
"73",752721
"74",751529
"75",749674
"76",749671
"77",748241
"78",747997
"79",745285
"80",745284
"81",745283
"82",744318
"83",744155
"84",743514
"85",743469
"86",741236
"87",741235
"88",740786
"89",739821
"90",739820
"91",735487
"92",735486
"93",735163
"94",734701
"95",734700
"96",734084
"97",734054
"98",733958
"99",733816
"100",733368
"101",732945
"102",728420
"103",728325
"104",727749
"105",727747
"106",727297
"107",727296
"108",727295
"109",724703
"110",724696
"111",720724
"112",719305
"113",717900
"114",717855
"115",717806
"116",716548
"117",713809
"118",710590
"119",710587
"120",708859
"121",706816
"122",706815
"123",706814
"124",706774
"125",706375
"126",704623
"127",704408
"128",703215
"129",703210
"130",703195
"131",703194
"132",702021
"133",702013
"134",702012
"135",700751
"136",700750
"137",700736
"138",700722
"139",700610
"140",700609
"141",700608
"142",700586
"143",700466
"144",699710
"145",696888
"146",696886
"147",696879
"148",696876
"149",696472
"150",692258
"151",689825
"152",689414
"153",689320
"154",687397
"155",687112
"156",687111
"157",686996
"158",686995
"159",684878
"160",682892
"161",681922
"162",681842
"163",681839
"164",679559
"165",677978
"166",677082
"167",675274
"168",675265
"169",675264
"170",675258
"171",675213
"172",675208
"173",675205
"174",675078
"175",675059
"176",675058
"177",675046
"178",675020
"179",675019
"180",674176
"181",673917
"182",673302
"183",671844
"184",671019
"185",669119
"186",666439
"187",665100
"188",665099
"189",664152
"190",663188
"191",663187
"192",663186
"193",663182
"194",663177
"195",663176
"196",663175
"197",663172
"198",663169
"199",663167
"200",659542
"201",659460
"202",658999
"203",658429
"204",657175
"205",657173
"206",656377
"207",656364
"208",656359
"209",656280
"210",654577
"211",652662
"212",652551
"213",651994
"214",651867
"215",651014
"216",649582
"217",649581
"218",649049
"219",649026
"220",649025
"221",649010
"222",649009
"223",648990
"224",648964
"225",648447
"226",645676
"227",645368
"228",642521
"229",637395
"230",637394
"231",635752
"232",633988
"233",631521
"234",631520
"235",631488
"236",630371
"237",630365
"238",629446
"239",629209
"240",629071
"241",628605
"242",628571
"243",627995
"244",627035
"245",627034
"246",625389
"247",625200
"248",624477
"249",624476
"250",624304
"251",623863
"252",619961
"253",619108
"254",618958
"255",616769
"256",616506
"257",614454
"258",613567
"259",613180
"260",613133
"261",613108
"262",613106
"263",612914
"264",612912
"265",612908
"266",612906
"267",612898
"268",612889
"269",612882
"270",611331
"271",611323
"272",610736
"273",610735
"274",609442
"275",609441
"276",609425
"277",609387
"278",609386
"279",609026
"280",608998
"281",606215
"282",605308
"283",605221
"284",605203
"285",605143
"286",605127
"287",604135
"288",603726
"289",603725
"290",601197
"291",599983
"292",599969
"293",599966
"294",599139
"295",598528
"296",596751
"297",595156
"298",593337
"299",592355
"300",592269
"301",590997
"302",589179
"303",589134
"304",586959
"305",586898
"306",586610
"307",586608
"308",584401
"309",581584
"310",581583
"311",581210
"312",580401
"313",580032
"314",579511
"315",579074
"316",578394
"317",576810
"318",576808
"319",576787
"320",576775
"321",576296
"322",576099
"323",575988
"324",570860
"325",570795
"326",567876
"327",567540
"328",567291
"329",567287
"330",567147
"331",567146
"332",564347
"333",564345
"334",564151
"335",563189
"336",562212
"337",561110
"338",557767
"339",557721
"340",557092
"341",556222
"342",554988
"343",554170
"344",553962
"345",553196
"346",549931
"347",549905
"348",549396
"349",548437
"350",548240
"351",547139
"352",546915
"353",546775
"354",546324
"355",545915
"356",541490
"357",538940
"358",538830
"359",538156
"360",538155
"361",536959
"362",535622
"363",535574
"364",532681
"365",532680
"366",531147
"367",531074
"368",529904
"369",526602
"370",526389
"371",526260
"372",525311
"373",524327
"374",523162
"375",521734
"376",521623
"377",516367
"378",514429
"379",514162
"380",513717
"381",513716
"382",513715
"383",513714
"384",513713
"385",513577
"386",513017
"387",507611
"388",505750
"389",502131
"390",500631
"391",500629
"392",500511
"393",500289
"394",498466
"395",497471
"396",495837
"397",495020
"398",495018
"399",495017
"400",492324
"401",492323
"402",491977
"403",491906
"404",491615
"405",491614
"406",488959
"407",482860
"408",478945
"409",474722
"410",474717
"411",474695
"412",474429
"413",473835
"414",473834
"415",473833
"416",473823
"417",473779
"418",473715
"419",473700
"420",473699
"421",473662
"422",473660
"423",473632
"424",473430
"425",472975
"426",472971
"427",472914
"428",469959
"429",468614
"430",467554
"431",466267
"432",463204
"433",463203
"434",462915
"435",462577
"436",462334
"437",462333
"438",462332
"439",462331
"440",462330
"441",459814
"442",458506
"443",457466
"444",456755
"445",455538
"446",455537
"447",455536
"448",455006
