"","x"
"1",824172
"2",824171
"3",824170
"4",823912
"5",823911
"6",823885
"7",823606
"8",823605
"9",823604
"10",823554
"11",823553
"12",823552
"13",823551
"14",823550
"15",823549
"16",823548
"17",823547
"18",823546
"19",823545
"20",823544
"21",823543
"22",823542
"23",823541
"24",823536
"25",823535
"26",822675
"27",822674
"28",822673
"29",822672
"30",822671
"31",822670
"32",822669
"33",822668
"34",822667
"35",822666
"36",822665
"37",822664
"38",822663
"39",822179
"40",822178
"41",822177
"42",822174
"43",821726
"44",821725
"45",821685
"46",821684
"47",821683
"48",821682
"49",821681
"50",821608
"51",821607
"52",821363
"53",821362
"54",821361
"55",821360
"56",821359
"57",821304
"58",821303
"59",821302
"60",821301
"61",821300
"62",821299
"63",821298
"64",821297
"65",821296
"66",821295
"67",821294
"68",821293
"69",821292
"70",821291
"71",821290
"72",821289
"73",820794
"74",820793
"75",820394
"76",820308
"77",820307
"78",820306
"79",820305
"80",820304
"81",820303
"82",820140
"83",820139
"84",820138
"85",819838
"86",819744
"87",819693
"88",819667
"89",819666
"90",819665
"91",819664
"92",819663
"93",819662
"94",819661
"95",819569
"96",819522
"97",819435
"98",819151
"99",819150
"100",818497
"101",818496
"102",818495
"103",818486
"104",818485
"105",818484
"106",818474
"107",818473
"108",818472
"109",818445
"110",818444
"111",818443
"112",818442
"113",818441
"114",818440
"115",818439
"116",818438
"117",818436
"118",818093
"119",818092
"120",818091
"121",818089
"122",818088
"123",818087
"124",818086
"125",818085
"126",818040
"127",818039
"128",818038
"129",818037
"130",818036
"131",818035
"132",818034
"133",818033
"134",818032
"135",818031
"136",818030
"137",818029
"138",818028
"139",818027
"140",817972
"141",817971
"142",817589
"143",816958
"144",816957
"145",816956
"146",816955
"147",816954
"148",816953
"149",816952
"150",816951
"151",816883
"152",816882
"153",816857
"154",816763
"155",816713
"156",816668
"157",816667
"158",816666
"159",816665
"160",816664
"161",816663
"162",816662
"163",816661
"164",816659
"165",816658
"166",816655
"167",816654
"168",816653
"169",816652
"170",816651
"171",816650
"172",816649
"173",816452
"174",816451
"175",816450
"176",816449
"177",816448
"178",816416
"179",816415
"180",816414
"181",816413
"182",815529
"183",815528
"184",815507
"185",815506
"186",815505
"187",815504
"188",815503
"189",815501
"190",815464
"191",815462
"192",815461
"193",815453
"194",815123
"195",815122
"196",815121
"197",815120
"198",815119
"199",814261
"200",814109
"201",813197
"202",813196
"203",812565
"204",812140
"205",812118
"206",812117
"207",811027
"208",810606
"209",810605
"210",810604
"211",810603
"212",810602
"213",810601
"214",810600
"215",810599
"216",810598
"217",810597
"218",810596
"219",809641
"220",809640
"221",809639
"222",809638
"223",809637
"224",809636
"225",809635
"226",809634
"227",809633
"228",809360
"229",809359
"230",809358
"231",809357
"232",809356
"233",809355
"234",809330
"235",809323
"236",809320
"237",809319
"238",809318
"239",809317
"240",809299
"241",809298
"242",809297
"243",809296
"244",809204
"245",808640
"246",808639
"247",808638
"248",808201
"249",807957
"250",807736
"251",807200
"252",807150
"253",807149
"254",807121
"255",807120
"256",807119
"257",807118
"258",807117
"259",807080
"260",807078
"261",807042
"262",807041
"263",807039
"264",807016
"265",807015
"266",806864
"267",806863
"268",806862
"269",806861
"270",806860
"271",806859
"272",806858
"273",806857
"274",806856
"275",806855
"276",806854
"277",806853
"278",806828
"279",806827
"280",806826
"281",806825
"282",806824
"283",806823
"284",806822
"285",806821
"286",806820
"287",806819
"288",806813
"289",806801
"290",806800
"291",806795
"292",806794
"293",806793
"294",806791
"295",806790
"296",806789
"297",806773
"298",806772
"299",806771
"300",806770
"301",806769
"302",806768
"303",806767
"304",806766
"305",806765
"306",806764
"307",806763
"308",806721
"309",806720
"310",806719
"311",806718
"312",806717
"313",806716
"314",806715
"315",806714
"316",806713
"317",806712
"318",806711
"319",806710
"320",806709
"321",806708
"322",806707
"323",806706
"324",806705
"325",806704
"326",806703
"327",806702
"328",806701
"329",806700
"330",806699
"331",806698
"332",806697
"333",806696
"334",806695
"335",806694
"336",806693
"337",806692
"338",806691
"339",806690
"340",806689
"341",806688
"342",806540
"343",806539
"344",806538
"345",806537
"346",806536
"347",806508
"348",806507
"349",806506
"350",806505
"351",806504
"352",806503
"353",806502
"354",806501
"355",806500
"356",806498
"357",806497
"358",806496
"359",806495
"360",806494
"361",806493
"362",806475
"363",806460
"364",806396
"365",806395
"366",806197
"367",806185
"368",806184
"369",806183
"370",806182
"371",806181
"372",806172
"373",806171
"374",806170
"375",806169
"376",806168
"377",806163
"378",806162
"379",806152
"380",806151
"381",806150
"382",806149
"383",806145
"384",806144
"385",806143
"386",806103
"387",806102
"388",806038
"389",806025
"390",805956
"391",805955
"392",805853
"393",805282
"394",805281
"395",805001
"396",805000
"397",804891
"398",804655
"399",804654
"400",804507
"401",804506
"402",804505
"403",804457
"404",804140
"405",804049
"406",803050
"407",802992
"408",802857
"409",802380
"410",802378
"411",802377
"412",801993
"413",801862
"414",801162
"415",801161
"416",801160
"417",801159
"418",801158
"419",801157
"420",801156
"421",801155
"422",801154
"423",801102
"424",801063
"425",801062
"426",801061
"427",800984
"428",800912
"429",800074
"430",800073
"431",800072
"432",800071
"433",800070
"434",799854
"435",799289
"436",799237
"437",798396
"438",798395
"439",798394
"440",798393
"441",798392
"442",798391
"443",798390
"444",798389
"445",797454
"446",796369
"447",796367
"448",796365
"449",796364
"450",796363
"451",796362
"452",796361
"453",796360
"454",796359
"455",796357
"456",796356
"457",796355
"458",796354
"459",796353
"460",796351
"461",796349
"462",796348
"463",796347
"464",795773
"465",795772
"466",795324
"467",794595
"468",794589
"469",794588
"470",792850
"471",792716
"472",792715
"473",792714
"474",792685
"475",792684
"476",792683
"477",792682
"478",792681
"479",792680
"480",792679
"481",792677
"482",792676
"483",792675
"484",792674
"485",792671
"486",792670
"487",792668
"488",792667
"489",792665
"490",792664
"491",792663
"492",792611
"493",792610
"494",792609
"495",792608
"496",792607
"497",792563
"498",792562
"499",792561
"500",792560
"501",792559
"502",792558
"503",792557
"504",792556
"505",792555
"506",792554
"507",792553
"508",792552
"509",792482
"510",792481
"511",792480
"512",792479
"513",792381
"514",791393
"515",791370
"516",791369
"517",791368
"518",791367
"519",791366
"520",791294
"521",791293
"522",791292
"523",791291
"524",791290
"525",791289
"526",791288
"527",791287
"528",791252
"529",791251
"530",791250
"531",791249
"532",791248
"533",790521
"534",790460
"535",789628
"536",789503
"537",789395
"538",789394
"539",789393
"540",789392
"541",789390
"542",789347
"543",789346
"544",789345
"545",789333
"546",789332
"547",789257
"548",789256
"549",789253
"550",789252
"551",789251
"552",789250
"553",789249
"554",789248
"555",789247
"556",789246
"557",789244
"558",789117
"559",789116
"560",789115
"561",788891
"562",788643
"563",788253
"564",788252
"565",788251
"566",788250
"567",787835
"568",787020
"569",787019
"570",787018
"571",787017
"572",786994
"573",786813
"574",786488
"575",786487
"576",786486
"577",786446
"578",786377
"579",786376
"580",786375
"581",786374
"582",786373
"583",786372
"584",786371
"585",786370
"586",786369
"587",786368
"588",786367
"589",786343
"590",786285
"591",786284
"592",786276
"593",786275
"594",786274
"595",786273
"596",786262
"597",786261
"598",786223
"599",786040
"600",785838
"601",785837
"602",785655
"603",785586
"604",785585
"605",785584
"606",785299
"607",785298
"608",785297
"609",785296
"610",785255
"611",785254
"612",784919
"613",784918
"614",784917
"615",784916
"616",784915
"617",784914
"618",784913
"619",784912
"620",784911
"621",784910
"622",784909
"623",784908
"624",784907
"625",784906
"626",784835
"627",784639
"628",784292
"629",784291
"630",784290
"631",784289
"632",784288
"633",784224
"634",784187
"635",784043
"636",783371
"637",783370
"638",783369
"639",783368
"640",783367
"641",783366
"642",783365
"643",783364
"644",783363
"645",783362
"646",783361
"647",782501
"648",782500
"649",782499
"650",782439
"651",781598
"652",781288
"653",780594
"654",780593
"655",780592
"656",780591
"657",780590
"658",780589
"659",780577
"660",780576
"661",780575
"662",780574
"663",780573
"664",780572
"665",780571
"666",780548
"667",780547
"668",780546
"669",780545
"670",780544
"671",780543
"672",780542
"673",780541
"674",780540
"675",780539
"676",780538
"677",780537
"678",780536
"679",780535
"680",780534
"681",780532
"682",780531
"683",780530
"684",780529
"685",780528
"686",780527
"687",780526
"688",780522
"689",780521
"690",780520
"691",780519
"692",780518
"693",780501
"694",780500
"695",780499
"696",780497
"697",780374
"698",780373
"699",780366
"700",780365
"701",780364
"702",780363
"703",780362
"704",780361
"705",780360
"706",780351
"707",780136
"708",780109
"709",779073
"710",779072
"711",779071
"712",779070
"713",779022
"714",779021
"715",779020
"716",779019
"717",779018
"718",779017
"719",778679
"720",778596
"721",778595
"722",778594
"723",778593
"724",778521
"725",778520
"726",778519
"727",778518
"728",778517
"729",778516
"730",778491
"731",778490
"732",778489
"733",778488
"734",778478
"735",778477
"736",778476
"737",778392
"738",777973
"739",777750
"740",777640
"741",777622
"742",777564
"743",777554
"744",776871
"745",776870
"746",776868
"747",776143
"748",776142
"749",776141
"750",776140
"751",776139
"752",776138
"753",776137
